year,player,pace,shooting,passing,dribbling,physical
2010,Messi,89,84,82,97,59
2010,Iniesta,82,90,90,75,69
2010,Xavi,78,85,94,79,64
2011,Messi,88,90,83,97,59
2011,Ronaldo,92,90,86,93,78
2011,Xavi,75,77,93,86,64
2012,Messi,92,93,89,97,48
2012,Ronaldo,93,91,84,93,79
2012,Iniesta,85,71,90,90,59
2013,Ronaldo,93,95,80,90,79
2013,Messi,92,93,84,97,66
2013,Ribery,88,78,82,94,64
2014,Ronaldo,94,94,83,90,80
2014,Messi,90,93,89,97,78
2014,Neuer,80,90,89,82,71
2015,Messi,92,94,83,95,70
2015,Ronaldo,90,93,92,95,79
2015,Neymar,87,85,80,94,45
2016,Ronaldo,92,94,85,88,80
2016,Messi,91,93,90,94,65
2016,Griezmann,81,87,85,90,60
2017,Ronaldo,93,92,82,90,83
2017,Messi,92,88,91,95,64
2017,Neymar,86,85,82,95,65
2018,Modric,80,75,90,87,70
2018,Ronaldo,90,93,83,89,85
2018,Griezmann,82,84,78,85,75
2019,Messi,90,90,92,96,66
2019,Virgil,89,93,89,92,90
2019,Ronaldo,91,92,82,88,84
2021,Messi,88,91,92,95,65
2021,Lewandowski,90,94,80,80,82
2021,Jorginho,78,70,86,85,80
2022,Benzema,90,92,85,85,80
2022,Mane,91,85,80,88,83
2022,De Bruyne,81,86,94,83,75
2023,Messi,87,92,94,96,66
2023,Haaland,91,94,75,78,90
2023,Mbappe,94,88,80,92,85
2024,Rodri,78,70,87,76,82
2024,Vinicius,94,88,79,92,74
2024,Bellingham,88,83,82,85,86
