Year,Rank,Player,Votes,Club,UCL,League,Cup,Goals,Assists,Trophies
2010,1,Messi,401,Barcelona,0,1,0,47,11,3
2010,2,Iniesta,307,Barcelona,0,1,0,3,7,4
2010,3,Xavi,292,Barcelona,0,1,0,3,10,4
2011,1,Messi,609,Barcelona,1,0,0,59,37,5
2011,2,Ronaldo,275,Real Madrid,0,1,1,60,18,1
2011,3,Xavi,117,Barcelona,1,0,0,5,11,2
2012,1,Messi,546,Barcelona,0,0,1,91,22,4
2012,2,Ronaldo,311,Real Madrid,0,1,0,63,15,1
2012,3,Iniesta,143,Barcelona,0,0,1,13,16,5
2013,1,Ronaldo,368,Real Madrid,0,0,0,45,16,1
2013,2,Messi,325,Barcelona,0,1,0,69,15,1
2013,3,Ribery,307,Bayern Munich,1,1,1,27,25,5
2014,1,Ronaldo,545,Real Madrid,1,0,1,61,20,4
2014,2,Messi,228,Barcelona,0,1,0,58,21,1
2014,3,Neuer,227,Bayern Munich,0,1,0,16,5,5
2015,1,Messi,536,Barcelona,1,1,1,58,33,6
2015,2,Ronaldo,361,Real Madrid,0,0,0,47,18,2
2015,3,Neymar,103,Barcelona,1,1,1,25,35,6
2016,1,Ronaldo,587,Real Madrid,1,0,0,69,25,5
2016,2,Messi,254,Barcelona,0,1,1,30,25,3
2016,3,Griezmann,159,Atlético Madrid,0,0,0,25,20,3
2017,1,Ronaldo,479,Real Madrid,1,1,0,53,12,4
2017,2,Messi,343,Barcelona,0,0,0,54,16,2
2017,3,Neymar,178,Barcelona,0,0,0,20,26,1
2018,1,Modric,459,Real Madrid,1,0,0,4,12,3
2018,2,Ronaldo,283,Real Madrid,1,0,0,49,13,3
2018,3,Griezmann,258,Atlético Madrid,0,0,0,19,11,2
2019,1,Messi,376,Real Madrid,0,1,0,34,19,2
2019,2,Virgil,374,Liverpool,1,0,0,20,12,3
2019,3,Ronaldo,250,Juventus,0,1,0,39,11,3
2021,1,Messi,371,Barcelona,0,0,1,43,27,2
2021,2,Lewandowski,358,Bayern Munich,0,1,0,69,10,3
2021,3,Jorginho,271,Chelsea,1,0,0,10,3,2
2022,1,Benzema,543,Real Madrid,1,1,0,44,15,3
2022,2,Mane,329,Liverpool,0,0,1,23,10,3
2022,3,De Bruyne,128,Manchester City,0,1,0,13,28,1
2023,1,Messi,427,PSG,0,1,0,28,12,3
2023,2,Haaland,330,Manchester City,1,1,1,56,15,3
2023,3,Mbappe,243,PSG,0,1,0,52,12,1
2024,1,Rodri,459,Manchester City,0,1,0,8,13,4
2024,2,Vinicius,378,Real Madrid,1,1,0,24,18,3
2024,3,Bellingham,163,Real Madrid,1,1,0,23,12,3
